Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Velveto+ 1.74 Trans GEN S ,111.20,112.20,115.20,117.20,117.20,117.20,x,x,121.20,,,,,,,,,,
Velveto+ 1.50 Trans Drivewear ,111.84,112.84,115.84,117.84,117.84,117.84,x,x,121.84,,,,,,,,,,
Velveto+ 1.67 Trans Drivewear ,119.94,120.94,123.94,125.94,125.94,125.94,x,x,129.94,,,,,,,,,,
Velveto+ 1.50 TransXtract ,69.89,70.89,73.89,75.89,75.89,75.89,x,x,79.89,,,,,,,,,,
Velveto+ 1.60 TransXtract ,97.26,98.26,101.26,103.26,103.26,103.26,x,x,107.26,,,,,,,,,,
Velveto+ 1.67 TransXtract ,111.04,112.04,115.04,117.04,117.04,117.04,x,x,121.04,,,,,,,,,,
Velveto+ 1.50 TransXtract Polarized Grey ,79.08,80.08,83.08,85.08,85.08,85.08,x,x,89.08,,,,,,,,,,
Velveto+ 1.60 TransXtract Polarized Grey ,104.42,105.42,108.42,110.42,110.42,110.42,x,x,114.42,,,,,,,,,,
Velveto+ 1.67 TransXtract Polarized Grey ,120.62,121.62,124.62,126.62,126.62,126.62,x,x,130.62,,,,,,,,,,
Velveto+ 1.50 NuPolar ,55.90,56.90,59.90,61.90,61.90,61.90,x,x,65.90,,,,,,,,,,
Velveto+ 1.60 NuPolar ,90.30,91.30,94.30,96.30,96.30,96.30,x,x,100.30,,,,,,,,,,
Velveto+ 1.67 NuPolar ,118.96,119.96,122.96,124.96,124.96,124.96,x,x,128.96,,,,,,,,,,
Velveto+ 1.74 NuPolar ,137.96,138.96,141.96,143.96,143.96,143.96,x,x,147.96,,,,,,,,,,
Velveto+ 1.50 NuPolar Gradient ,55.90,56.90,59.90,61.90,61.90,61.90,x,x,65.90,,,,,,,,,,
Velveto+ 1.50 NuPolar Infinite Grey ,89.59,90.59,93.59,95.59,95.59,95.59,x,x,99.59,,,,,,,,,,
Velveto+ 1.50 NuPolar Tinted Universe,x,x,x,x,x,69.90,x,x,x,,,,,,,,,,
Velveto+ 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,70.90,x,x,x,,,,,,,,,,
Velveto+ 1.50 NuPolar MIRROR ,63.25,x,x,x,x,x,x,x,x,,,,,,,,,,
Velveto Select  (FAR_Near_Balance),UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Velveto Select  1.50 ,37.79,38.79,41.79,43.79,43.79,43.79,42.79,x,47.79,,,,,,,,,,
Velveto Select  1.53 ,59.77,60.77,63.77,65.77,65.77,x,x,x,69.77,,,,,,,,,,
Velveto Select  1.56 ,40.18,41.18,44.18,46.18,46.18,x,x,x,50.18,,,,,,,,,,
Velveto Select  1.59 ,54.99,55.99,58.99,60.99,60.99,x,x,x,64.99,,,,,,,,,,
Velveto Select  1.60 ,54.99,55.99,58.99,60.99,60.99,60.99,59.99,x,64.99,,,,,,,,,,
Velveto Select  1.67 ,65.50,66.50,69.50,71.50,71.50,71.50,70.50,x,75.50,,,,,,,,,,
Velveto Select  1.74 ,94.17,95.17,98.17,100.17,100.17,100.17,x,x,104.17,,,,,,,,,,
Velveto Select  1.50 Solis ,45.72,46.72,49.72,51.72,51.72,51.72,x,50.72,55.72,,,,,,,,,,
Velveto Select  1.56 Solis ,44.52,45.52,48.52,50.52,50.52,50.52,x,49.52,54.52,,,,,,,,,,
Velveto Select  1.60 Solis ,66.35,67.35,70.35,72.35,72.35,72.35,x,71.35,76.35,,,,,,,,,,
Velveto Select  1.67 Solis ,76.79,77.79,80.79,82.79,82.79,82.79,x,81.79,86.79,,,,,,,,,,
Velveto Select  1.50 NeoChromes ,60.22,61.22,64.22,66.22,66.22,66.22,x,x,70.22,,,,,,,,,,
Velveto Select  1.60 NeoChromes ,81.28,82.28,85.28,87.28,87.28,87.28,x,x,91.28,,,,,,,,,,
Velveto Select  1.67 NeoChromes ,90.60,91.60,94.60,96.60,96.60,96.60,x,x,100.60,,,,,,,,,,
Velveto Select  1.50 BLUE420 ,52.50,53.50,56.50,58.50,58.50,58.50,x,x,62.50,,,,,,,,,,
Velveto Select  1.60 BLUE420 ,65.79,66.79,69.79,71.79,71.79,71.79,x,x,75.79,,,,,,,,,,
Velveto Select  1.67 BLUE420 ,78.40,79.40,82.40,84.40,84.40,84.40,x,x,88.40,,,,,,,,,,
Velveto Select 1.50 Trans GEN S ,64.53,65.53,68.53,70.53,70.53,70.53,x,x,74.53,,,,,,,,,,
"Velveto Select 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",64.53,65.53,68.53,70.53,70.53,70.53,x,x,74.53,,,,,,,,,,
Velveto Select 1.53 Trans GEN S ,73.38,74.38,77.38,79.38,79.38,x,x,x,83.38,,,,,,,,,,
Velveto Select 1.60 Trans GEN S ,89.60,90.60,93.60,95.60,95.60,95.60,x,x,99.60,,,,,,,,,,
"Velveto Select 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",89.60,90.60,93.60,95.60,95.60,95.60,x,x,99.60,,,,,,,,,,
Velveto Select 1.67 Trans GEN S ,101.78,102.78,105.78,107.78,107.78,107.78,x,x,111.78,,,,,,,,,,
"Velveto Select 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",101.78,102.78,105.78,107.78,107.78,107.78,x,x,111.78,,,,,,,,,,
Velveto Select 1.74 Trans GEN S ,112.20,113.20,116.20,118.20,118.20,118.20,x,x,122.20,,,,,,,,,,
Velveto Select  1.50 Trans Drivewear ,112.84,113.84,116.84,118.84,118.84,118.84,x,x,122.84,,,,,,,,,,
Velveto Select  1.67 Trans Drivewear ,120.94,121.94,124.94,126.94,126.94,126.94,x,x,130.94,,,,,,,,,,
Velveto Select  1.50 TransXtract ,70.89,71.89,74.89,76.89,76.89,76.89,x,x,80.89,,,,,,,,,,
Velveto Select  1.60 TransXtract ,98.26,99.26,102.26,104.26,104.26,104.26,x,x,108.26,,,,,,,,,,
Velveto Select  1.67 TransXtract ,112.04,113.04,116.04,118.04,118.04,118.04,x,x,122.04,,,,,,,,,,
Velveto Select  1.50 TransXtract Polarized Grey ,80.08,81.08,84.08,86.08,86.08,86.08,x,x,90.08,,,,,,,,,,
Velveto Select  1.60 TransXtract Polarized Grey ,105.42,106.42,109.42,111.42,111.42,111.42,x,x,115.42,,,,,,,,,,
Velveto Select  1.67 TransXtract Polarized Grey ,121.62,122.62,125.62,127.62,127.62,127.62,x,x,131.62,,,,,,,,,,
Velveto Select  1.50 NuPolar ,56.90,57.90,60.90,62.90,62.90,62.90,x,x,66.90,,,,,,,,,,
Velveto Select  1.60 NuPolar ,91.30,92.30,95.30,97.30,97.30,97.30,x,x,101.30,,,,,,,,,,
Velveto Select  1.67 NuPolar ,119.96,120.96,123.96,125.96,125.96,125.96,x,x,129.96,,,,,,,,,,
Velveto Select  1.74 NuPolar ,138.96,139.96,142.96,144.96,144.96,144.96,x,x,148.96,,,,,,,,,,
Velveto Select  1.50 NuPolar Gradient ,56.90,57.90,60.90,62.90,62.90,62.90,x,x,66.90,,,,,,,,,,
Velveto Select  1.50 NuPolar Infinite Grey ,90.59,91.59,94.59,96.59,96.59,96.59,x,x,100.59,,,,,,,,,,
Velveto Select 1.50 NuPolar Tinted Universe,x,x,x,x,x,70.90,x,x,x,,,,,,,,,,
Velveto Select 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,71.90,x,x,x,,,,,,,,,,
Velveto Select  1.50 NuPolar MIRROR ,64.25,x,x,x,x,x,x,x,x,,,,,,,,,,
Effecto +,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Effecto+ 1.50 ,42.45,43.45,46.45,48.45,48.45,48.45,x,x,52.45,,,,,,,,,,
Effecto+ 1.53 ,67.81,68.81,71.81,73.81,73.81,x,x,x,77.81,,,,,,,,,,
Effecto+ 1.59 ,62.30,63.30,66.30,68.30,68.30,x,x,x,72.30,,,,,,,,,,
Effecto+ 1.60 ,62.30,63.30,66.30,68.30,68.30,68.30,x,x,72.30,,,,,,,,,,
Effecto+ 1.67 ,74.42,75.42,78.42,80.42,80.42,80.42,x,x,84.42,,,,,,,,,,
Effecto+ 1.74 ,107.50,108.50,111.50,113.50,113.50,113.50,x,x,117.50,,,,,,,,,,
Effecto+ 1.60 UV420 ,63.80,64.80,67.80,69.80,69.80,69.80,x,x,73.80,,,,,,,,,,
Effecto+ 1.67 UV420 ,76.42,77.42,80.42,82.42,82.42,82.42,x,x,86.42,,,,,,,,,,
Effecto+ 1.74 UV420 ,76.92,77.92,80.92,82.92,82.92,82.92,x,x,86.92,,,,,,,,,,
Effecto+ 1.50 NuPolar ,64.50,65.50,68.50,70.50,70.50,70.50,x,x,74.50,,,,,,,,,,
Effecto+ 1.59 NuPolar ,74.17,75.17,78.17,80.17,80.17,x,x,x,84.17,,,,,,,,,,
Effecto+ 1.60 NuPolar ,104.19,105.19,108.19,110.19,110.19,110.19,x,x,114.19,,,,,,,,,,
Effecto+ 1.67 NuPolar ,137.27,138.27,141.27,143.27,143.27,143.27,x,x,147.27,,,,,,,,,,
Effecto+ 1.50 Trans GEN S ,72.72,73.72,76.72,78.72,78.72,78.72,x,x,82.72,,,,,,,,,,
Effecto+ 1.53 Trans GEN S ,83.04,84.04,87.04,89.04,89.04,x,x,x,93.04,,,,,,,,,,
Effecto+ 1.59 Trans GEN S ,81.50,82.50,85.50,87.50,87.50,x,x,x,91.50,,,,,,,,,,
Effecto+ 1.60 Trans GEN S ,101.90,102.90,105.90,107.90,107.90,107.90,x,x,111.90,,,,,,,,,,
Effecto+ 1.67 Trans GEN S ,115.99,116.99,119.99,121.99,121.99,121.99,x,x,125.99,,,,,,,,,,
Effecto+ 1.74 Trans GEN S ,152.14,153.14,156.14,158.14,158.14,158.14,x,x,162.14,,,,,,,,,,
Effecto+ 1.50 TransXtract  ,70.91,71.91,74.91,76.91,76.91,76.91,x,x,80.91,,,,,,,,,,
Effecto+ 1.53 TransXtract  ,79.94,80.94,83.94,85.94,85.94,x,x,x,89.94,,,,,,,,,,
Effecto+ 1.59 TransXtract  ,79.24,80.24,83.24,85.24,85.24,x,x,x,89.24,,,,,,,,,,
Effecto+ 1.60 TransXtract  ,99.78,100.78,103.78,105.78,105.78,105.78,x,x,109.78,,,,,,,,,,
Effecto+ 1.67 TransXtract  ,114.11,115.11,118.11,120.11,120.11,120.11,x,x,124.11,,,,,,,,,,
Effecto+ 1.74 TransXtract  ,149.34,150.34,153.34,155.34,155.34,155.34,x,x,159.34,,,,,,,,,,
Compass,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Compass 1.50 ,46.69,47.69,50.69,52.69,52.69,52.69,x,x,56.69,,,,,,,,,,
Compass 1.53 ,74.59,75.59,78.59,80.59,80.59,x,x,x,84.59,,,,,,,,,,
Compass 1.59 ,68.52,69.52,72.52,74.52,74.52,x,x,x,78.52,,,,,,,,,,
Compass 1.60 ,68.52,69.52,72.52,74.52,74.52,74.52,x,x,78.52,,,,,,,,,,
Compass 1.67 ,81.87,82.87,85.87,87.87,87.87,87.87,x,x,91.87,,,,,,,,,,
Compass 1.74 ,118.25,119.25,122.25,124.25,124.25,124.25,x,x,128.25,,,,,,,,,,
Compass 1.60 UV420,70.02,71.02,74.02,76.02,76.02,76.02,x,x,80.02,,,,,,,,,,
Compass 1.67 UV420,83.87,84.87,87.87,89.87,89.87,89.87,x,x,93.87,,,,,,,,,,
Compass 1.74 UV420,84.37,85.37,88.37,90.37,90.37,90.37,x,x,94.37,,,,,,,,,,
Compass 1.50 NuPolar ,70.95,71.95,74.95,76.95,76.95,76.95,x,x,80.95,,,,,,,,,,
Compass 1.59 NuPolar ,81.59,82.59,85.59,87.59,87.59,x,x,x,91.59,,,,,,,,,,
Compass 1.60 NuPolar ,114.61,115.61,118.61,120.61,120.61,120.61,x,x,124.61,,,,,,,,,,
Compass 1.67 NuPolar ,150.99,151.99,154.99,156.99,156.99,156.99,x,x,160.99,,,,,,,,,,
Compass 1.50 Trans GEN S ,79.80,80.80,83.80,85.80,85.80,85.80,x,x,89.80,,,,,,,,,,
Compass 1.53 Trans GEN S ,91.03,92.03,95.03,97.03,97.03,x,x,x,101.03,,,,,,,,,,
Compass 1.59 Trans GEN S ,89.43,90.43,93.43,95.43,95.43,x,x,x,99.43,,,,,,,,,,
Compass 1.60 Trans GEN S ,111.88,112.88,115.88,117.88,117.88,117.88,x,x,121.88,,,,,,,,,,
Compass 1.67 Trans GEN S ,127.41,128.41,131.41,133.41,133.41,133.41,x,x,137.41,,,,,,,,,,
Compass 1.74 Trans GEN S ,167.07,168.07,171.07,173.07,173.07,173.07,x,x,177.07,,,,,,,,,,
Compass 1.50 TransXtract ,77.99,78.99,81.99,83.99,83.99,83.99,x,x,87.99,,,,,,,,,,
Compass 1.53 TransXtract ,87.93,88.93,91.93,93.93,93.93,x,x,x,97.93,,,,,,,,,,
Compass 1.59 TransXtract ,87.17,88.17,91.17,93.17,93.17,x,x,x,97.17,,,,,,,,,,
Compass 1.60 TransXtract ,109.76,110.76,113.76,115.76,115.76,115.76,x,x,119.76,,,,,,,,,,
Compass 1.67 TransXtract ,125.53,126.53,129.53,131.53,131.53,131.53,x,x,135.53,,,,,,,,,,
Compass 1.74 TransXtract ,164.27,165.27,168.27,170.27,170.27,170.27,x,x,174.27,,,,,,,,,,
Clear Road,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Clear Road SUN Transitions Drivewear MONO RX 1.50,x,x,x,x,x,x,x,x,67.98,,,,,,,,,,
Clear Road Skaidrūs MONO RX  1.60,x,x,x,x,x,x,x,x,33.83,,,,,,,,,,
Clear Road SUN Transitions Drivewear MONO RX  1.67,x,x,x,x,x,x,x,x,76.08,,,,,,,,,,
Clear Road SUN Transitions Drivewear Progressive 1.50,x,x,x,x,x,x,x,x,121.84,,,,,,,,,,
Clear Road Skaidrūs Progressive  1.60,x,x,x,x,x,x,x,x,67.29,,,,,,,,,,
Clear Road SUN Transitions Drivewear Progressive 1.67,x,x,x,x,x,x,x,x,129.94,,,,,,,,,,
Lumi Kids (Myopia control),UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Lumi Kids 1.50 UNV Clarus Sericum UV,x,x,x,x,38.00,x,x,x,x,,,,,,,,,,
Lumi Kids 1.60 UNV Clarus Sericum UV,x,x,x,x,40.00,x,x,x,x,,,,,,,,,,
Lumi Kids 1.67 UNV Clarus Sericum UV,x,x,x,x,42.00,x,x,x,x,,,,,,,,,,
Lumi Kids 1.74 UNV Clarus Sericum UV,x,x,x,x,44.00,x,x,x,x,,,,,,,,,,
Lumi Kids 1.60 NuPolar Brown UNV Achromatic,x,x,x,x,x,54.41,x,x,x,,,,,,,,,,
Lumi Kids 1.60 NuPolar Grey UNV Achromatic,x,x,x,x,x,54.41,x,x,x,,,,,,,,,,
Lumi Kids 1.60 NuPolar GN Achromatic,x,x,x,x,x,54.41,x,x,x,,,,,,,,,,
Lumi Kids 1.60 NeoChromes Brown UNV Achromatic,x,x,x,x,x,56.21,x,x,x,,,,,,,,,,
Lumi Kids 1.60 NeoChromes Grey UNV Achromatic,x,x,x,x,x,56.21,x,x,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STOCK lenses,,,,,,,,,,,,,,,,,,,
Simple stock (NANO BASIC),Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Organic 1.50 uncoated (UC),65 (+) ; 70 (-),0 iki  +2,0.74,,,,,,,,,,,,,,,,
Organic 1.50 hardcoated (HC),65 (+) ; 70 (-),0 iki  +2,1.32,,,,,,,,,,,,,,,,
Organic 1.56  AR- Multicoated (HMC)  ,65 (+) ; 70 (-),0 iki  +2,1.86,,,,,,,,,,,,,,,,
Organic 1.56 AR- Multicoated (HMC)   ,65 (+) ; 70 (-),.+2.25 iki +4,3.20,,,,,,,,,,,,,,,,
Organic 1.56 AR- Multicoated (HMC)   ,70 (+),,2.16,,,,,,,,,,,,,,,,
Organic 1.60  AR- Multicoated (HMC),65 (+) ; 70 (-); 75 (-),0 iki  +2,3.96,,,,,,,,,,,,,,,,
Organic  1.60 AR- Multicoated (HMC),65 (+) ; 70 (-); 75 (-),.+2.25 iki +4,5.28,,,,,,,,,,,,,,,,
Organic foto grey 1.56 AR- Multicoated (HMC),65 (+) ; 70 (-),0 iki  +2,6.60,,,,,,,,,,,,,,,,
Organic foto brown 1.56 AR- Multicoated (HMC),65 (+) ; 70 (-),0 iki  +2,6.60,,,,,,,,,,,,,,,,
Simple stock | Blue 420 (NANO Blue 420),Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
BLUE420 AR (SHMC) Organic 1.56,65 (+); 70 (-),0 iki  +2,3.30,,,,,,,,,,,,,,,,
BLUE420 AR (SHMC) Organic 1.56 ,70 (+),0 iki  +2,3.85,,,,,,,,,,,,,,,,
BLUE420 AR (SHMC) Organic 1.60 ,65 (+);70 (-);75(-),0 iki  +3,6.16,,,,,,,,,,,,,,,,
BLUE420 AR (SHMC) Organic 1.67,70 (-) ; 75 (-),0 iki  +3,10.56,,,,,,,,,,,,,,,,
Nano Blue Line ,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano Organic Blue Line  1.50 ,65 (+) ; 70 (-),0 iki  +2,3.96,,,,,,,,,,,,,,,,
Nano Organic Blue Line 1.50 ,70 (+),0 iki  +2,4.29,,,,,,,,,,,,,,,,
Nano Organic Blue Line 1.60 ,65 (+);70 (-);75(-),0 iki  +2,6.16,,,,,,,,,,,,,,,,
Nano Organic Blue Line  1.67,65 (+);70 (-);75(-),0 iki  +2,7.70,,,,,,,,,,,,,,,,
Nano Longus ,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano Organic Longus  1.50 ,65 (+); 70 (-),0 iki  +2,3.96,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.50 ,70 (+),0 iki  +2,4.29,,,,,,,,,,,,,,,,
Nano Organic Longus  1.60 ,65 (+);70 (-);75(-),0 iki  +2,6.16,,,,,,,,,,,,,,,,
Nano Organic Longus  1.60 ,70 (+),      --------,6.16,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.60  ,65 (+),.+2.25 iki +3,9.35,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.60  ,75 (-),.+2.25 iki +4,9.35,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.67,65 (+);70 (-);75(-),0 iki  +2,7.70,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.67,70 (-);75(-),.+2.25 iki +4,10.99,,,,,,,,,,,,,,,,
Nano Organic  Longus 1.74,70 (-);75(-),0 iki  +4,25.00,,,,,,,,,,,,,,,,
Nano Achromatic,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano Achromatic 1.60 ,65 (+);70 (-);75(-),0.00  iki  +2.00,6.16,,,,,,,,,,,,,,,,
Nano Achromatic 1.60 ,70 (+),      --------,6.16,,,,,,,,,,,,,,,,
Nano Achromatic 1.60 ,65 (+);70 (-);75(-),2.25  iki  +3.00,9.35,,,,,,,,,,,,,,,,
Nano Solis,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano Solis 1.50 SHMC,65 (+); 70 (-),0.00  iki  +2.00,10.56,,,,,,,,,,,,,,,,
Nano Solis 1.60 SHMC,"65 (+); 70,75 (-)",0.00  iki  +2.00,21.03,,,,,,,,,,,,,,,,
Nano Transitions GEN S Ruda (Brown) / Pilka (Grey) 1-3 working days,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano Organic TRANS GENS 1.50 SHMC,65 (+); 70 (-),0 iki  +2,15.01,,,,,,,,,,,,,,,,
Nano Organic TRANS GENS 1.60 SHMC,65 (+); 75 (-),0 iki  +2,28.41,,,,,,,,,,,,,,,,
Nano Organic TRANS GENS 1.67 SHMC,70 (-); 75(-); 80 (-),0 iki  +2,38.07,,,,,,,,,,,,,,,,
Nano Organic Transitions XTRActive 1.50 SHMC,65 (+); 70 (-),      --------,19.80,,,,,,,,,,,,,,,,
Nano Tinting Stock ,Diameter ,Cylinder,Eur per 1 lens,,,,,,,,,,,,,,,,
Nano tinting 1.50 Full tinting UC (without coating) 85% +UV,65 (+);70 (+/-);75(-),0 iki  +2,5.00,,,,,,,,,,,,,,,,
Nano tinting 1.60 Full tinting ½ Longus 85% +UV,70 (+/-);75(-),0 iki  +2,7.50,,,,,,,,,,,,,,,,
SERVICES ,,,,,,,,,,,,,,,,,,,
EDGING,Eur per order,,,,,,,,,,,,,,,,,,
Full frame,4.60,,,,,,,,,,,,,,,,,,
Nylon frame,5.90,,,,,,,,,,,,,,,,,,
Rimless glasses frames with plastic pressing technology,12.00,,,,,,,,,,,,,,,,,,
Rimless eyeglass frames assembled with individually adjustable screws,20.00,,,,,,,,,,,,,,,,,,
Lindberg and other complex structures,20.00,,,,,,,,,,,,,,,,,,
RX TINTING,Eur per 1 lens,Index,,,,,,,,,,,,,,,,,
Full tinting according to the Bod Lenses catalog,3.00,1.50 | 1.60* | 1.67*,,,,,,,,,,,,,,,,,
Full tinting according to the Bod Lenses catalog,12.00,1.74,,,,,,,,,,,,,,,,,
Gradient tinting according to Bod Lenses catalog*,4.00,1.50 | 1.60*,,,,,,,,,,,,,,,,,
Full tinting according to your special order - copying the sample you provided,5.00,1.50 | 1.60* | 1.67*,,,,,,,,,,,,,,,,,
Gradient tinting according to your special order - copying your provided sample*,6.00,1.50 | 1.60 * | 1.67*,,,,,,,,,,,,,,,,,
UV protection,Nemokamai ,,,,,,,,,,,,,,,,,,
"*1.60 / 1,67 Effecto ir Compass lens -  we do not tint ",,,,,,,,,,,,,,,,,,,
STOCK TINTING,Eur per 1 lens,Colors,Tinting %,,,,,,,,,,,,,,,,
"Gradient painting with Clarus II coating on the inside                                                Sph +4/cyl +2 (+) 65diam. 
Sph -6/cyl +2  (-) 70 diam. ",8.00,Grey           Brown        Green ,30-0 | 50-0 | 90-15,,,,,,,,,,,,,,,,
