Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Mono FF 1.50 Solis ,18.73,19.73,22.73,24.73,24.73,24.73,x,23.73,28.73,,,,,,,,,,
Mono FF 1.56 Solis,17.53,18.53,21.53,23.53,23.53,23.53,x,22.53,27.53,,,,,,,,,,
Mono FF 1.60 Solis ,28.66,29.66,32.66,34.66,34.66,34.66,x,33.66,38.66,,,,,,,,,,
Mono FF 1.67 Solis ,36.90,37.90,40.90,42.90,42.90,42.90,x,41.90,46.90,,,,,,,,,,
Mono FF 1.50 NeoChromes ,23.10,24.10,27.10,29.10,29.10,29.10,x,x,33.10,,,,,,,,,,
Mono FF 1.60 NeoChromes ,38.17,39.17,42.17,44.17,44.17,44.17,x,x,48.17,,,,,,,,,,
Mono FF 1.67 NeoChromes ,42.69,43.69,46.69,48.69,48.69,48.69,x,x,52.69,,,,,,,,,,
Mono FF 1.50 TransXtract ,30.50,31.50,34.50,36.50,36.50,36.50,x,x,40.50,,,,,,,,,,
Mono FF 1.60 TransXtract ,49.09,50.09,53.09,55.09,55.09,55.09,x,x,59.09,,,,,,,,,,
Mono FF 1.67 TransXtract ,65.94,66.94,69.94,71.94,71.94,71.94,x,x,75.94,,,,,,,,,,
Mono FF 1.50 TransXtract Polarized Grey ,40.59,41.59,44.59,46.59,46.59,46.59,x,x,50.59,,,,,,,,,,
Mono FF 1.60 TransXtract Polarized Grey ,56.97,57.97,60.97,62.97,62.97,62.97,x,x,66.97,,,,,,,,,,
Mono FF 1.67 TransXtract Polarized Grey ,76.49,77.49,80.49,82.49,82.49,82.49,x,x,86.49,,,,,,,,,,
Mono FF 1.50 NuPolar ,20.58,21.58,24.58,26.58,26.58,26.58,x,x,30.58,,,,,,,,,,
Mono FF 1.60 NuPolar ,39.98,40.98,43.98,45.98,45.98,45.98,x,x,49.98,,,,,,,,,,
Mono FF 1.67 NuPolar ,62.62,63.62,66.62,68.62,68.62,68.62,x,x,72.62,,,,,,,,,,
