sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S72138636;Ladies' Sunglasses Max Mara MM0107-K 5545B;https://www.bigbuy.eu/7734459/ladies-sunglasses-max-mara-mm0107-k-5545b_1287930.jpg;-;6;1;0;5;6;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138635;Ladies' Sunglasses Max Mara MM0107-K 5501A;https://www.bigbuy.eu/7734592/ladies-sunglasses-max-mara-mm0107-k-5501a_1287974.jpg;-;1;1;0;5;1;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138634;Ladies' Sunglasses Max Mara MM0106-K 5469A;https://www.bigbuy.eu/7734574/ladies-sunglasses-max-mara-mm0106-k-5469a_1287968.jpg;-;7;1;0;5;7;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138633;Ladies' Sunglasses Max Mara MM0106-K 5445E;https://www.bigbuy.eu/7734556/ladies-sunglasses-max-mara-mm0106-k-5445e_1287962.jpg;-;6;1;0;5;6;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138632;Ladies' Sunglasses Max Mara MM0106-K 5401A;https://www.bigbuy.eu/7734535/ladies-sunglasses-max-mara-mm0106-k-5401a_1287955.jpg;-;1;1;0;5;1;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138631;Ladies' Sunglasses Max Mara MM0104-K 6357B;https://www.bigbuy.eu/7734442/ladies-sunglasses-max-mara-mm0104-k-6357b_1287923.jpg;-;45;1;0;5;45;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138630;Ladies' Sunglasses Max Mara MM0104-K 6301A;https://www.bigbuy.eu/7734427/ladies-sunglasses-max-mara-mm0104-k-6301a_1287918.jpg;-;2;1;0;5;2;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138629;Ladies' Sunglasses Max Mara MM0080 5160G;https://www.bigbuy.eu/7734394/ladies-sunglasses-max-mara-mm0080-5160g_1287905.jpg;-;8;1;0;5;8;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138628;Ladies' Sunglasses Max Mara MM0076 5568V;https://www.bigbuy.eu/7734523/ladies-sunglasses-max-mara-mm0076-5568v_1287950.jpg;-;7;1;0;5;7;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138627;Ladies' Sunglasses Max Mara MM0074 5401B;https://www.bigbuy.eu/7734497/ladies-sunglasses-max-mara-mm0074-5401b_1287943.jpg;-;23;1;0;5;23;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
